,Bike#,start_ts,end_ts,Latitude,Longitude,Latitude_end,Longitude_end,Start Station,End Station,Start terminal,End terminal
0,N01697,2013-10-13 11:36:00,2013-10-13 12:57:00,44.984891999999995,-93.256551,44.984891999999995,-93.256551,100 Main Street SE,100 Main Street SE,30000,30000.0
1,N01697,2013-10-13 11:13:00,2013-10-13 11:32:00,44.97265,-93.27405,44.984891999999995,-93.256551,11th Street & Marquette,100 Main Street SE,30040,30000.0
2,N01697,2013-08-18 13:42:00,2013-08-18 14:11:00,44.97265,-93.27405,44.984891999999995,-93.256551,11th Street & Marquette,100 Main Street SE,30040,30000.0
3,N01697,2013-07-28 16:47:00,2013-07-28 16:50:00,44.98717,-93.25576,44.984891999999995,-93.256551,University & Bank Street SE,100 Main Street SE,30047,30000.0
4,N01697,2013-06-14 19:10:00,2013-06-14 19:15:00,44.983281,-93.24812,44.984891999999995,-93.256551,6th Ave. SE & University Ave.,100 Main Street SE,30088,30000.0
5,N01697,2013-04-29 19:22:00,2013-04-29 19:23:00,44.95734,-93.22374,44.95734,-93.22374,25th Street & 33rd. Ave. S.,25th Street & 33rd. Ave. S.,30001,30001.0
6,N01697,2013-09-15 17:00:00,2013-09-15 17:24:00,44.94851,-93.2602,44.95734,-93.22374,Midtown Exchange,25th Street & 33rd. Ave. S.,30008,30001.0
7,N01697,2013-10-23 18:18:00,2013-10-23 18:30:00,44.973411,-93.23477199999999,44.95734,-93.22374,Coffman Memorial Union,25th Street & 33rd. Ave. S.,30024,30001.0
8,N01697,2013-04-29 17:57:00,2013-04-29 18:09:00,44.973411,-93.23477199999999,44.95734,-93.22374,Coffman Memorial Union,25th Street & 33rd. Ave. S.,30024,30001.0
9,N01697,2013-06-19 16:02:00,2013-06-19 16:26:00,44.976602,-93.266701,44.95734,-93.22374,Hennepin County Government Center,25th Street & 33rd. Ave. S.,30029,30001.0
10,N01697,2013-09-06 16:55:00,2013-09-06 17:11:00,44.97685,-93.23818,44.95734,-93.22374,Elliot Hall,25th Street & 33rd. Ave. S.,30058,30001.0
11,N01697,2013-06-18 18:36:00,2013-06-18 19:21:00,44.989451,-93.279579,44.95734,-93.22374,Washington Ave N & 9th Ave N,25th Street & 33rd. Ave. S.,30065,30001.0
12,N01697,2013-07-28 13:14:00,2013-07-28 13:29:00,44.93434,-93.229338,44.95734,-93.22374,38th Street Light Rail ,25th Street & 33rd. Ave. S.,30163,30001.0
13,N01697,2013-07-28 13:36:00,2013-07-28 13:39:00,44.962922999999996,-93.241013,44.96622,-93.2384,22nd Ave S & Franklin Ave,Augsburg College,30014,30002.0
14,N01697,2013-05-30 08:44:00,2013-05-30 08:48:00,44.969225,-93.251136,44.96622,-93.2384,Currie Park,Augsburg College,30037,30002.0
15,N01697,2013-07-28 20:34:00,2013-07-28 20:40:00,44.9807,-93.30441,44.991412,-93.306269,Glenwood Ave & N Morgan Ave.,Plymouth Ave N. &  N. Oliver Ave,30059,30003.0
16,N01697,2013-08-19 21:03:00,2013-08-19 21:12:00,44.976602,-93.266701,44.97534,-93.27869,Hennepin County Government Center,11th Street & Hennepin,30029,30004.0
17,N01697,2013-10-16 20:39:00,2013-10-16 20:47:00,44.980926000000004,-93.26285,44.97534,-93.27869,South 2nd Street & 3rd Ave. S,11th Street & Hennepin,30030,30004.0
18,N01697,2013-07-28 14:31:00,2013-07-28 14:32:00,44.977128,-93.277505,44.97534,-93.27869,9th Street N & Hawthorne Ave,11th Street & Hennepin,30142,30004.0
19,N01697,2013-06-18 17:04:00,2013-06-18 17:20:00,44.949699,-93.29312900000001,44.97534,-93.27869,Dupont Ave S & Lake Street,11th Street & Hennepin,30160,30004.0
20,N01697,2013-07-28 16:22:00,2013-07-28 16:45:00,44.99882,-93.25276,44.988890000000005,-93.25392,Logan Park,Hennepin & Central Avenue NE,30104,30005.0
21,N01697,2013-06-23 22:10:00,2013-06-23 22:21:00,44.998613,-93.268633,44.988890000000005,-93.25392,Broadway & Marshall Street NE,Hennepin & Central Avenue NE,30152,30005.0
22,N01697,2013-07-18 09:51:00,2013-07-18 11:05:00,44.972217,-93.27643499999999,44.972217,-93.27643499999999,YWCA Downtown,YWCA Downtown,30006,30006.0
23,N01697,2013-04-27 15:57:00,2013-04-27 15:58:00,44.972217,-93.27643499999999,44.972217,-93.27643499999999,YWCA Downtown,YWCA Downtown,30006,30006.0
24,N01697,2013-08-19 08:54:00,2013-08-19 09:10:00,44.94851,-93.2602,44.972217,-93.27643499999999,Midtown Exchange,YWCA Downtown,30008,30006.0
25,N01697,2013-09-17 20:48:00,2013-09-17 20:55:00,44.97391,-93.28305,44.972217,-93.27643499999999,Hennepin & Laurel Ave.,YWCA Downtown,30010,30006.0
26,N01697,2013-05-19 12:27:00,2013-05-19 12:45:00,44.986087,-93.272459,44.972217,-93.27643499999999,North 2nd Street & 4th Ave. N,YWCA Downtown,30011,30006.0
27,N01697,2013-07-18 08:12:00,2013-07-18 08:24:00,44.960744,-93.28815,44.972217,-93.27643499999999,22nd Street & Lyndale,YWCA Downtown,30017,30006.0
28,N01697,2013-07-13 18:14:00,2013-07-13 18:24:00,44.95548,-93.28775,44.972217,-93.27643499999999,26th Street & Lyndale,YWCA Downtown,30022,30006.0
29,N01697,2013-06-21 12:48:00,2013-06-21 12:54:00,44.976602,-93.266701,44.972217,-93.27643499999999,Hennepin County Government Center,YWCA Downtown,30029,30006.0
30,N01697,2013-06-04 11:59:00,2013-06-04 12:06:00,44.962846,-93.267526,44.972217,-93.27643499999999,Franklin & Portland,YWCA Downtown,30041,30006.0
31,N01697,2013-05-23 11:22:00,2013-05-23 12:29:00,44.94865,-93.30077,44.972217,-93.27643499999999,Lake Street & Humboldt,YWCA Downtown,30043,30006.0
32,N01697,2013-04-27 15:04:00,2013-04-27 15:57:00,44.961459999999995,-93.29303,44.972217,-93.27643499999999,Dupont Ave & 22nd Street,YWCA Downtown,30048,30006.0
33,N01697,2013-04-25 12:47:00,2013-04-25 12:53:00,44.97497,-93.266684,44.972217,-93.27643499999999,7th Street & 4th Ave. S,YWCA Downtown,30051,30006.0
34,N01697,2013-07-28 14:38:00,2013-07-28 14:39:00,44.96995,-93.278133,44.972217,-93.27643499999999,Nicollet Mall and Grant Street,YWCA Downtown,30052,30006.0
35,N01697,2013-07-10 15:42:00,2013-07-10 15:55:00,44.989451,-93.279579,44.972217,-93.27643499999999,Washington Ave N & 9th Ave N,YWCA Downtown,30065,30006.0
36,N01697,2013-06-15 18:24:00,2013-06-15 19:17:00,44.980558,-93.181384,44.972217,-93.27643499999999,U of M St. Paul Campus,YWCA Downtown,30115,30006.0
37,N01697,2013-07-28 14:44:00,2013-07-28 14:46:00,44.975640999999996,-93.272185,44.97265,-93.26872,IDS Center,9th Street & 4th Ave.,30042,30007.0
38,N01697,2013-06-29 18:49:00,2013-06-29 19:08:00,44.956179999999996,-93.27796,44.97265,-93.26872,Nicollet Ave & W 26th Street,9th Street & 4th Ave.,30049,30007.0
39,N01697,2013-09-14 15:49:00,2013-09-14 16:54:00,44.94851,-93.2602,44.94851,-93.2602,Midtown Exchange,Midtown Exchange,30008,30008.0
40,N01697,2013-04-28 12:54:00,2013-04-28 13:05:00,44.94865,-93.30077,44.94851,-93.2602,Lake Street & Humboldt,Midtown Exchange,30043,30008.0
41,N01697,2013-09-15 13:09:00,2013-09-15 13:32:00,44.962726,-93.230776,44.94851,-93.2602,Franklin & 28th Ave,Midtown Exchange,30045,30008.0
42,N01697,2013-08-19 06:13:00,2013-08-19 06:31:00,44.97974,-93.26599,44.94851,-93.2602,3rd Street S & 2nd Ave. S,Midtown Exchange,30050,30008.0
43,N01697,2013-07-28 18:31:00,2013-07-28 18:39:00,44.94823,-93.24054,44.94851,-93.2602,Midtown YWCA,Midtown Exchange,30080,30008.0
44,N01697,2013-06-20 18:15:00,2013-06-20 18:35:00,44.968237,-93.281991,44.94851,-93.2602,West 15th Street & Willow,Midtown Exchange,30093,30008.0
