End Station,End Station,Start Station,weight
100 Main Street SE,100 Main Street SE,IDS Center,-40
11th Street & Hennepin,11th Street & Hennepin,IDS Center,-12
11th Street & Marquette,11th Street & Marquette,IDS Center,-5
13th Ave & West River Parkway,13th Ave & West River Parkway,IDS Center,7
15th Ave. SE & Como Ave. SE,15th Ave. SE & Como Ave. SE,IDS Center,-6
22nd Ave S & Franklin Ave,22nd Ave S & Franklin Ave,IDS Center,-18
22nd Street & Lyndale,22nd Street & Lyndale,IDS Center,65
25th Street & 33rd. Ave. S.,25th Street & 33rd. Ave. S.,IDS Center,-2
26th Street & Hennepin,26th Street & Hennepin,IDS Center,-9
26th Street & Lyndale,26th Street & Lyndale,IDS Center,-1
27th Ave S & East Lake Street,27th Ave S & East Lake Street,IDS Center,5
27th Ave SE & University Ave.,27th Ave SE & University Ave.,IDS Center,4
28th Street & Nicollet Ave. S,28th Street & Nicollet Ave. S,IDS Center,5
2nd Ave N & N 6th Street,2nd Ave N & N 6th Street,IDS Center,-22
2nd Street N & 8th Ave. N,2nd Street N & 8th Ave. N,IDS Center,33
38th Street Light Rail ,38th Street Light Rail ,IDS Center,-6
3rd Street S & 2nd Ave. S,3rd Street S & 2nd Ave. S,IDS Center,67
4th Street & 13th Ave. SE,4th Street & 13th Ave. SE,IDS Center,-8
4th Street & 17th Ave. SE,4th Street & 17th Ave. SE,IDS Center,-6
4th Street S & 19th Ave.,4th Street S & 19th Ave.,IDS Center,-1
5th Ave N & 4th Street N,5th Ave N & 4th Street N,IDS Center,7
5th Ave. S & East 27th Street,5th Ave. S & East 27th Street,IDS Center,6
6th Ave. SE & University Ave.,6th Ave. SE & University Ave.,IDS Center,-45
7th Street & 4th Ave. S,7th Street & 4th Ave. S,IDS Center,33
9th Street & 4th Ave.,9th Street & 4th Ave.,IDS Center,-6
9th Street N & Hawthorne Ave,9th Street N & Hawthorne Ave,IDS Center,19
Augsburg College,Augsburg College,IDS Center,1
Boom Island Park,Boom Island Park,IDS Center,-2
Broadway & Marshall Street NE,Broadway & Marshall Street NE,IDS Center,-2
Bryant Ave. N & West Broadway,Bryant Ave. N & West Broadway,IDS Center,-5
Carter Ave & Como Ave,Carter Ave & Como Ave,IDS Center,3
Cedar Ave & 5th Street S,Cedar Ave & 5th Street S,IDS Center,-9
Central Ave. NE & 22nd Ave NE,Central Ave. NE & 22nd Ave NE,IDS Center,-5
Chicago & 27th Street,Chicago & 27th Street,IDS Center,4
Chicago Ave & Washington Ave S,Chicago Ave & Washington Ave S,IDS Center,32
Coffman Memorial Union,Coffman Memorial Union,IDS Center,28
Currie Park,Currie Park,IDS Center,-26
Downtown Library,Downtown Library,IDS Center,127
Dupont Ave & 22nd Street,Dupont Ave & 22nd Street,IDS Center,93
Dupont Ave S & Lake Street,Dupont Ave S & Lake Street,IDS Center,2
East Lake Street & 36th Ave S,East Lake Street & 36th Ave S,IDS Center,-16
Elliot Hall,Elliot Hall,IDS Center,0
Elliot Park,Elliot Park,IDS Center,22
Emerson Ave. S & 24th Street,Emerson Ave. S & 24th Street,IDS Center,12
Farview Park,Farview Park,IDS Center,-3
Franklin & 11th Ave,Franklin & 11th Ave,IDS Center,-7
Franklin & 28th Ave,Franklin & 28th Ave,IDS Center,-8
Franklin & Portland,Franklin & Portland,IDS Center,60
Gateway Park,Gateway Park,IDS Center,49
Girard Ave N & W Broadway Ave,Girard Ave N & W Broadway Ave,IDS Center,-3
Glenwood Ave & N Morgan Ave.,Glenwood Ave & N Morgan Ave.,IDS Center,-16
Grant Street & Portland Ave,Grant Street & Portland Ave,IDS Center,17
Hennepin & Central Avenue NE,Hennepin & Central Avenue NE,IDS Center,-2
Hennepin & Laurel Ave.,Hennepin & Laurel Ave.,IDS Center,41
Hennepin Ave. & 4th Street,Hennepin Ave. & 4th Street,IDS Center,31
Hennepin County Government Center,Hennepin County Government Center,IDS Center,7
IDS Center,IDS Center,IDS Center,0
LaSalle Ave & 9th Street S,LaSalle Ave & 9th Street S,IDS Center,-11
Lake Calhoun Center,Lake Calhoun Center,IDS Center,-26
Lake Street & Humboldt,Lake Street & Humboldt,IDS Center,35
Lake Street & Knox Ave S,Lake Street & Knox Ave S,IDS Center,-24
Lake Street & Lyndale,Lake Street & Lyndale,IDS Center,-46
Lake Street & West River Parkway,Lake Street & West River Parkway,IDS Center,-1
Logan Park,Logan Park,IDS Center,-21
Loring Park,Loring Park,IDS Center,43
Lowry Ave N & Penn Ave,Lowry Ave N & Penn Ave,IDS Center,0
MCAD,MCAD,IDS Center,-7
Marshall Street NE & 18th Ave NE,Marshall Street NE & 18th Ave NE,IDS Center,-5
Marshall Street NE & 8th Ave. NE,Marshall Street NE & 8th Ave. NE,IDS Center,10
Mayo Memorial Building,Mayo Memorial Building,IDS Center,-3
McNamara Center,McNamara Center,IDS Center,-13
Midtown Exchange,Midtown Exchange,IDS Center,4
Midtown YWCA,Midtown YWCA,IDS Center,1
Minneapolis Farmers Market,Minneapolis Farmers Market,IDS Center,-6
Minneapolis Park & Recreation Board,Minneapolis Park & Recreation Board,IDS Center,-2
Mississippi River Blvd & Summit Ave,Mississippi River Blvd & Summit Ave,IDS Center,-1
Mpls. Convention Center,Mpls. Convention Center,IDS Center,127
N 4th Ave & W River Parkway,N 4th Ave & W River Parkway,IDS Center,11
Nicollet & Franklin,Nicollet & Franklin,IDS Center,172
Nicollet Ave & W 26th Street,Nicollet Ave & W 26th Street,IDS Center,38
Nicollet Mall and Grant Street,Nicollet Mall and Grant Street,IDS Center,79
North 2nd Street & 4th Ave. N,North 2nd Street & 4th Ave. N,IDS Center,25
Oak Street Ramp,Oak Street Ramp,IDS Center,-9
Park Ave. S & 5th Street,Park Ave. S & 5th Street,IDS Center,6
Pleasant Ave S &  Lake Street,Pleasant Ave S &  Lake Street,IDS Center,2
Plymouth Ave N. &  N. Oliver Ave,Plymouth Ave N. &  N. Oliver Ave,IDS Center,-6
Plymouth Ave. N & Fremont,Plymouth Ave. N & Fremont,IDS Center,-3
Portland Ave. & Washington Ave.,Portland Ave. & Washington Ave.,IDS Center,-48
Social Sciences,Social Sciences,IDS Center,6
South 2nd Street & 3rd Ave. S,South 2nd Street & 3rd Ave. S,IDS Center,98
University & Bank Street SE,University & Bank Street SE,IDS Center,-62
University Ave. & 23rd Ave. SE,University Ave. & 23rd Ave. SE,IDS Center,-14
University Ave. NE & 12th Ave. NE,University Ave. NE & 12th Ave. NE,IDS Center,-6
Upton Ave S & Sheridan Ave S,Upton Ave S & Sheridan Ave S,IDS Center,0
W 36th Street & W Calhoun Parkway,W 36th Street & W Calhoun Parkway,IDS Center,-2
Walker Art Center,Walker Art Center,IDS Center,55
Washington & 2nd Ave. N,Washington & 2nd Ave. N,IDS Center,2
Washington & Cedar,Washington & Cedar,IDS Center,14
Washington & Marquette,Washington & Marquette,IDS Center,55
Washington Ave N & 9th Ave N,Washington Ave N & 9th Ave N,IDS Center,97
Washington Ave S & 9th Ave S,Washington Ave S & 9th Ave S,IDS Center,16
West 15th Street & Willow,West 15th Street & Willow,IDS Center,50
West 32nd Street & Bryant Ave S,West 32nd Street & Bryant Ave S,IDS Center,1
West 34th Street  & Hennepin Ave S,West 34th Street  & Hennepin Ave S,IDS Center,4
West 36th Street & Bryant Ave S,West 36th Street & Bryant Ave S,IDS Center,-14
West Broadway & Logan Ave N,West Broadway & Logan Ave N,IDS Center,-1
Williamson Hall,Williamson Hall,IDS Center,-2
YWCA Downtown,YWCA Downtown,IDS Center,53
YWCA Uptown,YWCA Uptown,IDS Center,-23
